俛	fu3	variant of 俯[fu3]	fu	Ø3	亻免
俯	fu3	variant of 俯[fu3]	fu	Ø3	亻府
府	fu3	seat of government / government repository (archive) / official residence / mansion / presidential palace / (honorific) Your home / prefecture (from Tang to Qing times)	fu	Ø3	付广
俯	fu3	to look down / to stoop	fu	Ø3	亻府
頫	fu3	variant of 俯[fu3]	fu	Ø3	兆頁
俯	fu3	variant of 俯[fu3]	fu	Ø3	亻府
俱	ju4	entirely / without exception	ju	Ø4	亻具
具	ju4	tool / device / utensil / equipment / instrument / talent / ability / to possess / to have / to provide / to furnish / to state / classifier for devices, coffins, dead bodies	ju	Ø4	一八目
俲					亻効
俳	pai2	not serious / variety show	p	ai2	亻非
非	fei1	abbr. for 非洲[Fei1 zhou1], Africa	f	ei1	
非	fei1	to not be / not / wrong / incorrect / non- / un- / in- / to reproach or blame / (colloquial) to insist on / simply must	f	ei1	
俴	jian4	short / shallow / thin plate	ji	an4	亻戔
戔					戈
俵	biao3	to distribute	bi	ao3	亻表
表	biao3	exterior surface / family relationship via females / to show (one's opinion) / a model / a table (listing information) / a form / a meter (measuring sth)	bi	ao3	龶𧘇
龶	xx5	component in Chinese characters, occurring in 青, 毒, 素 etc / see also 青字頭|青字头[qing1 zi4 tou2]			
錶	biao3	wrist or pocket watch	bi	ao3	表金
表	biao3	wrist or pocket watch	bi	ao3	龶𧘇
金	jin1	surname Jin / surname Kim (Korean) / Jurchen Jin dynasty (1115-1234)	ji	(e)n1	丷全
金	jin1	gold / chemical element Au / generic term for lustrous and ductile metals / money / golden / highly respected / one of the eight ancient musical instruments 八音[ba1 yin1]	ji	(e)n1	丷全
俶	chu4	to begin	chu	Ø4	亻叔
叔	shu1	uncle / father's younger brother / husband's younger brother / Taiwan pr. [shu2]	shu	Ø1	又尗
尗	shu1	archaic variant of 菽[shu1] / archaic variant of 叔[shu1]	shu	Ø1	上小
俷	fei4	(meaning unclear) / to renounce / to abandon	f	ei4	亻肥
肥	fei2	fat / fertile / loose-fitting or large / to fertilize / to become rich by illegal means / fertilizer / manure	f	ei2	巴月
巴	ba1	Ba state during Zhou dynasty (in east of modern Sichuan) / abbr. for east Sichuan or Chongqing / surname Ba / abbr. for Palestine or Palestinian / abbr. for Pakistan	b	a1	
巴	ba1	to long for / to wish / to cling to / to stick to / sth that sticks / close to / next to / spread open / informal abbr. for bus 巴士[ba1 shi4] / bar (unit of pressure) / nominalizing suffix on certain nouns, such as 尾巴[wei3 ba5], tail	b	a1	
俸	feng4	salary	f	(e)ng4	亻奉
奉	feng4	to offer (tribute) / to present respectfully (to superior, ancestor, deity etc) / to esteem / to revere / to believe in (a religion) / to wait upon / to accept orders (from superior)	f	(e)ng4	于夳
夳					二大
俺	an3	I (northern dialects)	Ø	an3	亻奄
奄	yan3	surname Yan	y	an3	大电
奄	yan1	variant of 閹|阉[yan1] / to castrate / variant of 淹[yan1] / to delay	y	an1	大电
奄	yan3	suddenly / abruptly / hastily / to cover / to surround	y	an3	大电
俻					亻备
俾	bi3	to cause / to enable / phonetic bi	bi	Ø3	亻卑
卑	bei1	low / base / vulgar / inferior / humble	b	ei1	甶
倂	bing4	variant of 併|并[bing4]	bi	(e)ng4	亻幷
幷	bing4	variant of 並|并[bing4] / variant of 併|并[bing4]	bi	(e)ng4	丶干
倃	jiu4	to malign / to slander	ji	ou4	亻咎
咎	jiu4	fault / to blame / to punish / calamity / misfortune	ji	ou4	口处
處	chu3	to reside / to live / to dwell / to be in / to be situated at / to stay / to get along with / to be in a position of / to deal with / to discipline / to punish	chu	Ø3	処虍
处	chu3	to reside / to live / to dwell / to be in / to be situated at / to stay / to get along with / to be in a position of / to deal with / to discipline / to punish	chu	Ø3	卜夂
処	chu3	old variant of 處|处[chu3]	chu	Ø3	几夂
虍	hu1	stripes of a tiger / "tiger" radical in Chinese characters (Kangxi radical 141)	hu	Ø1	匕卜厂
處	chu4	place / location / spot / point / office / department / bureau / respect / classifier for locations or items of damage: spot, point	chu	Ø4	処虍
处	chu4	place / location / spot / point / office / department / bureau / respect / classifier for locations or items of damage: spot, point	chu	Ø4	卜夂
倅	cui4	auxiliary / spare / deputy / second / sub-	cu	ei4	亻卒
䘚	zu2	variant of 卒[zu2]	zu	Ø2	
卒	zu2	variant of 卒[zu2]	zu	Ø2	亠从十
卒	cu4	variant of 猝[cu4]	cu	Ø4	亠从十
卒	zu2	soldier / servant / to finish / to die / finally / at last / pawn in Chinese chess	zu	Ø2	亠从十
倌	guan1	keeper of domestic animals / herdsman / (old) hired hand in certain trade	gu	an1	亻官
官	guan1	surname Guan	gu	an1	㠯宀
官	guan1	official / government / organ of body / CL:個|个[ge4]	gu	an1	㠯宀
倍	bei4	(two, three etc) -fold / times (multiplier) / double / to increase or multiply	b	ei4	亻咅
咅	pou3	pooh / pah / bah / (today used as a phonetic component in 部[bu4], 倍[bei4], 培[pei2], 剖[pou1] etc)	p	ou3	口立
倏	shu1	sudden / abrupt / Taiwan pr. [shu4]	shu	Ø1	攸犬
倐	shu1	variant of 倏[shu1]	shu	Ø1	亻夂火
倏	shu1	variant of 倏[shu1]	shu	Ø1	攸犬
儵	shu1	variant of 倏[shu1]	shu	Ø1	攸黑
倏	shu1	variant of 倏[shu1]	shu	Ø1	攸犬
黑	hei1	abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]	h	ei1	
黑	hei1	black / dark / sinister / secret / shady / illegal / (loanword) to hack (computing)	h	ei1	
倒	dao3	to fall / to collapse / to topple / to fail / to go bankrupt / to change (trains or buses) / to move around / to sell / to speculate (buying and selling, also 搗|捣) / profiteer	d	ao3	亻到
到	dao4	to (a place) / until (a time) / up to / to go / to arrive / (verb complement denoting completion or result of an action)	d	ao4	刂至
倒	dao4	to place upside down / to invert / to pour / to throw out / to move backwards / however / actually / as a matter of fact / contrary to expectation	d	ao4	亻到
倓	tan2	quiet / peaceful	t	an2	亻炎
炎	yan2	flame / inflammation / -itis	y	an2	火
倔	jue2	crabby / tough	ju	e2	亻屈
屈	qu1	surname Qu	qu	Ø1	出尸
出	chu1	to go out / to come out / to occur / to produce / to go beyond / to rise / to put forth / to happen / classifier for dramas, plays, operas etc	chu	Ø1	凵山
齣	chu1	variant of 出[chu1] (classifier for plays or chapters of classical novels)	chu	Ø1	句齒
出	chu1	variant of 出[chu1] (classifier for plays or chapters of classical novels)	chu	Ø1	凵山
齒					𠚕止
屈	qu1	bent / to feel wronged	qu	Ø1	出尸
倘	chang2	see 倘佯[chang2 yang2]	ch	ang2	亻尚
尚	shang4	surname Shang	sh	ang4	冋小
尚	shang4	still / yet / to value / to esteem	sh	ang4	冋小
倘	tang3	if / supposing / in case	t	ang3	亻尚
候	hou4	to wait / to inquire after / to watch / season / climate / (old) period of five days	h	ou4	亻侯
倚	yi3	to lean on / to rely upon	y	Ø3	亻奇
奇	ji1	odd (number)	ji	Ø1	可大
奇	qi2	strange / odd / weird / wonderful / surprisingly / unusually	qi	Ø2	可大
倜	ti4	energetic / exalted / magnanimous	ti	Ø4	亻周
周	zhou1	surname Zhou / Zhou Dynasty (1046-256 BC)	zh	ou1	口田
周	zhou1	to make a circuit / to circle / circle / circumference / lap / cycle / complete / all / all over / thorough / to help financially	zh	ou1	口田
週	zhou1	week / weekly / variant of 周[zhou1]	zh	ou1	周辶
周	zhou1	week / weekly / variant of 周[zhou1]	zh	ou1	口田
倝	gan4	dawn (archaic)	g	an4	人汉
漢	han4	Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD)	h	an4	氵
汉	han4	Han ethnic group / Chinese (language) / the Han dynasty (206 BC-220 AD)	h	an4	又氵
漢	han4	man	h	an4	氵
汉	han4	man	h	an4	又氵
倞	jing4	strong / powerful	ji	(e)ng4	京亻
倞	liang4	distant / to seek / old variant of 亮[liang4] / bright	li	ang4	京亻
借	jie4	to lend / to borrow / by means of / to take (an opportunity)	ji	e4	亻昔
昔	xi1	surname Xi	xi	Ø1	井日
昔	xi1	former times / the past / Taiwan pr. [xi2]	xi	Ø1	井日
藉	jie4	variant of 借[jie4]	ji	e4	卄耤
借	jie4	variant of 借[jie4]	ji	e4	亻昔
耤	ji2	plow	ji	Ø2	昔耒
耒	lei3	plow	l	ei3	丰八
倡	chang4	to initiate / to instigate / to introduce / to lead	ch	ang4	亻昌
昌	chang1	surname Chang	ch	ang1	日
昌	chang1	prosperous / flourishing	ch	ang1	日
倢	jie2	handsome	ji	e2	亻疌
疌					疋肀
値	zhi2	variant of 值[zhi2]	zh	Ø2	亻直
直	zhi2	surname Zhi / Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God	zh	Ø2	
直	zhi2	straight / to straighten / fair and reasonable / frank / straightforward / (indicates continuing motion or action) / vertical / vertical downward stroke in Chinese characters	zh	Ø2	
倥	kong1	ignorant / blank-minded	ku	(e)ng1	亻空
空	kong1	empty / air / sky / in vain	ku	(e)ng1	工穴
穴	xue2	cave / cavity / hole / acupuncture point / Taiwan pr. [xue4]	xu	e2	八宀
空	kong4	to empty / vacant / unoccupied / space / leisure / free time	ku	(e)ng4	工穴
倥	kong3	urgent / pressed	ku	(e)ng3	亻空
倦	juan4	tired	ju	an4	亻卷
卷	juan3	to roll up / roll / classifier for small rolled things (wad of paper money, movie reel etc)	ju	an3	关卩
關	guan1	surname Guan	gu	an1	𢇇門
关	guan1	surname Guan	gu	an1	丷天
𢇇					
關	guan1	mountain pass / to close / to shut / to turn off / to concern / to involve	gu	an1	𢇇門
关	guan1	mountain pass / to close / to shut / to turn off / to concern / to involve	gu	an1	丷天
卷	juan4	scroll / book / volume / chapter / examination paper / classifier for books, paintings: volume, scroll	ju	an4	关卩
捲	juan3	to roll (up) / to sweep up / to carry on / roll	ju	an3	卷扌
卷	juan3	to roll (up) / to sweep up / to carry on / roll	ju	an3	关卩
勌	juan4	old variant of 倦[juan4]	ju	an4	力卷
倦	juan4	old variant of 倦[juan4]	ju	an4	亻卷
倨	ju4	stubborn	ju	Ø4	亻居
居	ju1	surname Ju	ju	Ø1	古尸
居	ji1	(archaic) sentence-final particle expressing a doubting attitude	ji	Ø1	古尸
居	ju1	to reside / to be (in a certain position) / to store up / to be at a standstill / residence / house / restaurant / classifier for bedrooms	ju	Ø1	古尸
倩	qian4	pretty / winsome / to ask for sb's help / son-in-law (old)	qi	an4	亻青
青	qing1	abbr. for 青海[Qing1 hai3], Qinghai Province	qi	(e)ng1	龶月
青	qing1	nature's color / green or blue / greenish black / youth / young (of people)	qi	(e)ng1	龶月
倪	ni2	surname Ni	ni	Ø2	亻兒
倬	zhuo1	noticeable / large / clear / distinct / Taiwan pr. [zhuo2]	zhu	o1	亻卓
卓	zhuo2	surname Zhuo	zhu	o2	⺊早
卓	zhuo2	outstanding	zhu	o2	⺊早
倭	wo1	dwarf / Japanese (derog.) (old)	w	o1	亻委
委	wei3	surname Wei	w	ei3	女禾
委	wei1	same as 逶 in 逶迤 winding, curved	w	ei1	女禾
委	wei3	to entrust / to cast aside / to shift (blame etc) / to accumulate / roundabout / winding / dejected / listless / committee member / council / end / actually / certainly	w	ei3	女禾
倮	luo3	variant of 裸[luo3]	lu	o3	亻果
倵	wu3	(used in given names)	w	Ø3	亻武
武	wu3	surname Wu	w	Ø3	一弋止
武	wu3	martial / military	w	Ø3	一弋止
倶	ju4	variant of 俱[ju4] / variant of 具[ju4]	ju	Ø4	亻具
倷	nai3	you (dialect)	n	ai3	亻奈
奈	nai4	how can one help	n	ai4	大示
倸					亻采
倹	jian3	Japanese variant of 儉|俭[jian3]	ji	an3	㑒亻
㑒					
債	zhai4	debt / CL:筆|笔[bi3]	zh	ai4	亻責
债	zhai4	debt / CL:筆|笔[bi3]	zh	ai4	亻责
責	ze2	duty / responsibility / to reproach / to blame	z	e2	龶貝
责	ze2	duty / responsibility / to reproach / to blame	z	e2	龶贝
倻	ye1	phonetic ya used in Korean names / variant of 伽[jia1]	y	e1	亻耶
耶	ye1	(phonetic ye)	y	e1	耳阝
耶	ye2	interrogative particle (classical)	y	e2	耳阝
耶	ye5	final particle indicating enthusiasm etc	y	e5	耳阝
值	zhi2	value / (to be) worth / to happen to / to be on duty	zh	Ø2	亻直
倽	sha2	old variant of 啥[sha2]	sh	a2	亻舍
捨	she3	to give up / to abandon / to give alms	sh	e3	扌舍
舍	she3	to give up / to abandon / to give alms	sh	e3	人舌
舍	she4	surname She	sh	e4	人舌
舍	she4	residence	sh	e4	人舌
傾	qing1	to overturn / to collapse / to lean / to tend / to incline / to pour out	qi	(e)ng1	亻頃
倾	qing1	to overturn / to collapse / to lean / to tend / to incline / to pour out	qi	(e)ng1	亻顷
頃	qing1	variant of 傾|倾[qing1]	qi	(e)ng1	匕頁
顷	qing1	variant of 傾|倾[qing1]	qi	(e)ng1	匕页
頁	ye4	page / leaf	y	e4	丆貝
页	ye4	page / leaf	y	e4	丆贝
頃	qing3	unit of area equal to 100 畝|亩[mu3] or 6.67 hectares / a short while / a little while ago / circa. (for approximate dates)	qi	(e)ng3	匕頁
顷	qing3	unit of area equal to 100 畝|亩[mu3] or 6.67 hectares / a short while / a little while ago / circa. (for approximate dates)	qi	(e)ng3	匕页
偁	cheng1	variant of 稱|称[cheng1]	ch	(e)ng1	亻爯
爯	chen4	old variant of 稱|称[chen4]	ch	(e)n4	冉爫
爯	cheng1	old variant of 稱|称[cheng1]	ch	(e)ng1	冉爫
偃	yan3	surname Yan	y	an3	亻匽
匽	yan3	to hide, to secrete, to repress / to bend	y	an3	匚妟
妟					女日
偃	yan3	to lie supine / to stop / to fall down	y	an3	亻匽
假	jia3	fake / false / artificial / to borrow / if / suppose	ji	a3	亻叚
叚					
假	jia4	vacation	ji	a4	亻叚
叚	jia3	variant of 假[jia3] / to borrow	ji	a3	
假	jia3	variant of 假[jia3] / to borrow	ji	a3	亻叚
偈	ji4	Buddhist hymn / gatha / Buddhist verse	ji	Ø4	亻曷
曷	he2	why / how / when / what / where	h	e2	匃日
偈	jie2	forceful / martial	ji	e2	亻曷
偌	ruo4	so / such / to such a degree	ru	o4	亻若
若	ruo4	to seem / like / as / if	ru	o4	卄右
偎	wei1	to cuddle	w	ei1	亻畏
畏	wei4	to fear	w	ei4	氏田
偏	pian1	to lean / to slant / oblique / prejudiced / to deviate from average / to stray from the intended line / stubbornly / contrary to expectations / left-hand side of a split Chinese character, often the key or radical	pi	an1	亻扁
扁	pian1	surname Pian	pi	an1	𠕁户
扁	bian3	flat / (coll.) to beat (sb) up / old variant of 匾[bian3]	bi	an3	𠕁户
扁	pian1	small boat	pi	an1	𠕁户
偓	wo4	constrained	w	o4	亻屋
屋	wu1	house / room / CL:間|间[jian1],個|个[ge4]	w	Ø1	尸至
偕	xie2	in company with	xi	e2	亻皆
皆	jie1	all / each and every / in all cases	ji	e1	比白
做	zuo4	to do / to make / to produce / to write / to compose / to act as / to engage in / to hold (a party) / to be / to become / to function (in some capacity) / to serve as / to be used for / to form (a bond or relationship) / to pretend / to feign / to act a part / to put on appearance	zu	o4	亻故
故	gu4	happening / instance / reason / cause / intentional / former / old / friend / therefore / hence / (of people) to die, dead	gu	Ø4	古攵
停	ting2	to stop / to halt / to park (a car)	ti	(e)ng2	亭亻
偝	bei4	to disobey / to stand back-to-back	b	ei4	亻背
揹	bei1	variant of 背[bei1]	b	ei1	扌背
背	bei1	variant of 背[bei1]	b	ei1	北月
背	bei1	to be burdened / to carry on the back or shoulder	b	ei1	北月
背	bei4	the back of a body or object / to turn one's back / to hide something from / to learn by heart / to recite from memory / unlucky (slang) / hard of hearing	b	ei4	北月
偟	huang2	agitated / alarmed	hu	ang2	亻皇
皇	huang2	emperor / surname Huang	hu	ang2	王白
偢	chou3	to stare at	ch	ou3	亻秋
秋	qiu1	surname Qiu	qi	ou1	火禾
秋	qiu1	autumn / fall / harvest time / a swing	qi	ou1	火禾
秌	qiu1	old variant of 秋[qiu1]	qi	ou1	火禾
秋	qiu1	old variant of 秋[qiu1]	qi	ou1	火禾
鞦	qiu1	a swing	qi	ou1	秋革
秋	qiu1	a swing	qi	ou1	火禾
健	jian4	healthy / to invigorate / to strengthen / to be good at / to be strong in	ji	an4	亻建
建	jian4	to establish / to found / to set up / to build / to construct	ji	an4	廴聿
偨	ci1	uneven	c	Ø1	亻柴
柴	chai2	surname Chai	ch	ai2	木此
柴	chai2	firewood / lean (of meat) / thin (of a person)	ch	ai2	木此
偩	fu4	to rely on / to resemble	fu	Ø4	亻負
負					⺈貝
偪					亻畐
偫	zhi4	to wait for / to lay in	zh	Ø4	亻待
待	dai1	to stay	d	ai1	寺彳
待	dai4	to wait / to treat / to deal with / to need / going to (do sth) / about to / intending to	d	ai4	寺彳
傯	zong3	busy / hurried / despondent	zu	(e)ng3	亻悤
偬	zong3	busy / hurried / despondent	zu	(e)ng3	亻怱
怱					匆心
悤					囱心
偭	mian3	to transgress	mi	an3	亻面
面	mian4	face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc	mi	an4	丆囬
麪	mian4	variant of 麵|面[mian4]	mi	an4	丏麥
面	mian4	variant of 麵|面[mian4]	mi	an4	丆囬
麥					來夂
麵	mian4	flour / noodles	mi	an4	面麥
面	mian4	flour / noodles	mi	an4	丆囬
偯	yi3	to sob / wail	y	Ø3	亻哀
哀	ai1	Ai (c. 2000 BC), sixth of legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Li 釐|厘[Li2]	Ø	ai1	口衣
哀	ai1	sorrow / grief / pity / to grieve for / to pity / to lament / to condole	Ø	ai1	口衣
偰	xie4	variant of 契[qi4] / contract	xi	e4	亻契
契	qi4	to carve / carved words / to agree / a contract / a deed	qi	Ø4	㓞大
㓞					
偱	xun2	to tell	xu	(e)n2	亻盾
盾	dun4	shield	du	(e)n4	⺁𥃭
𥃭					
偲	si1	talented / urgent	s	Ø1	亻思
思	si1	to think / to consider	s	Ø1	心田
偶	ou3	accidental / image / pair / mate	Ø	ou3	亻禺
偷	tou1	to steal / to pilfer / to snatch / thief / stealthily	t	ou1	亻俞
偸	tou1	variant of 偷[tou1]	t	ou1	亻兪
兪	yu2	variant of 俞 / yes (used by Emperor or ruler) / OK / to accede / to assent	yu	Ø2	入
偺					亻昝
僂	lou2	hunchback	l	ou2	亻婁
偻	lou2	hunchback	l	ou2	亻娄
婁	lou2	surname Lou / one of the 28 lunar mansions in Chinese astronomy	l	ou2	女
娄	lou2	surname Lou / one of the 28 lunar mansions in Chinese astronomy	l	ou2	女米
米	mi3	surname Mi	mi	Ø3	丷木
米	mi3	rice / CL:粒[li4] / meter (classifier)	mi	Ø3	丷木
僂	lu:3	crookbacked			亻婁
偻	lu:3	crookbacked			亻娄
僨	fen4	to instigate / to ruin / to destroy	f	(e)n4	亻賁
偾	fen4	to instigate / to ruin / to destroy	f	(e)n4	亻贲
賁	ben1	surname Ben	b	(e)n1	卉貝
贲	ben1	surname Ben	b	(e)n1	十卄贝
卉	hui4	plants	hu	ei4	十卄
賁	ben1	energetic	b	(e)n1	卉貝
贲	ben1	energetic	b	(e)n1	十卄贝
賁	bi4	bright	bi	Ø4	卉貝
贲	bi4	bright	bi	Ø4	十卄贝
償	chang2	to repay / to compensate for / to recompense / to fulfill (hopes etc)	ch	ang2	亻賞
偿	chang2	to repay / to compensate for / to recompense / to fulfill (hopes etc)	ch	ang2	亻尝
嘗	chang2	to taste / to try / already / ever / once	ch	ang2	尚旨
尝	chang2	to taste / to try / already / ever / once	ch	ang2	云小
旨	zhi3	imperial decree / purport / aim / purpose	zh	Ø3	匕日
嚐	chang2	to taste	ch	ang2	口尚旨
尝	chang2	to taste	ch	ang2	云小
甞	chang2	old variant of 嘗|尝[chang2]	ch	ang2	尚甘
尝	chang2	old variant of 嘗|尝[chang2]	ch	ang2	云小
甘	gan1	surname Gan / abbr. for Gansu Province 甘肅省|甘肃省[Gan1 su4 Sheng3]	g	an1	二卄
甘	gan1	sweet / willing	g	an1	二卄
賞					尚貝
傀	gui1	grand / strange / exotic	gu	ei1	亻鬼
傀	kui3	puppet	ku	ei3	亻鬼
傅	fu4	surname Fu	fu	Ø4	亻尃
尃	fu1	to state to, to announce	fu	Ø1	寸甫
傅	fu4	tutor	fu	Ø4	亻尃
傈	li4	Lisu ethnic group of Yunnan, see 傈僳	li	Ø4	亻栗
慄	li4	afraid / trembling	li	Ø4	忄栗
栗	li4	afraid / trembling	li	Ø4	木覀
忄					
栗	li4	surname Li	li	Ø4	木覀
栗	li4	chestnut	li	Ø4	木覀
傌					亻馬
傍	bang4	near / approaching / to depend on / (slang) to have an intimate relationship with sb / Taiwan pr. [pang2], [bang1], [bang4]	b	ang4	亻旁
旁	pang2	beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic	p	ang2	六方
傎	dian1	inversion / mistake	di	an1	亻真
真	zhen1	really / truly / indeed / real / true / genuine	zh	(e)n1	具十
傑					亻桀
傒	xi1	(old) native of Jiangxi 江西[Jiang1 xi1] / to wait / servant / path	xi	Ø1	亻奚
奚	xi1	surname Xi	xi	Ø1	大幺爪
爪	zhua3	claw	zhu	a3	
奚	xi1	(literary) what? / where? / why?	xi	Ø1	大幺爪
傓	shan1	old variant of 煽[shan1]	sh	an1	亻扇
扇	shan1	to fan / to slap sb on the face	sh	an1	户羽
扇	shan4	fan / sliding, hinged or detachable flat part of sth / classifier for doors, windows etc	sh	an4	户羽
傔	qian4	servant	qi	an4	亻兼
兼	jian1	double / twice / simultaneous / holding two or more (official) posts at the same time	ji	an1	秝肀
秝					禾
傕	jue2	surname Jue	ju	e2	亻隺
隺					巾隹
傕	jue2	used in old names	ju	e2	亻隺
備					亻萹
傚					亻效
傜	yao2	Yao tribe	y	ao2	亻山月牛
傞	suo1	uneven / unsteady (in dancing)	su	o1	亻差
差	cha1	difference / discrepancy / to differ / error / to err / to make a mistake	ch	a1	工羊
差	cha4	to differ from / to fall short of / lacking / wrong / inferior	ch	a4	工羊
差	chai1	to send / to commission / messenger / mission	ch	ai1	工羊
傢					亻家
傣	dai3	Dai (ethnic group)	d	ai3	亻泰
泰	tai4	Mt Tai 泰山[Tai4 Shan1] in Shandong / abbr. for Thailand	t	ai4	𡗗氺
𡗗					
氺	shui3	archaic variant of 水[shui3]	shu	ei3	
泰	tai4	safe / peaceful / most / grand	t	ai4	𡗗氺
儎	zai4	load / cargo / old variant of 載|载[zai4] / to transport / to deliver / to bear / to support	z	ai4	亻載
傤	zai4	load / cargo / old variant of 載|载[zai4] / to transport / to deliver / to bear / to support	z	ai4	亻载
載	zai3	year / to record in writing (Taiwan pr. for this sense is [zai4])	z	ai3	𢦏車
载	zai3	year / to record in writing (Taiwan pr. for this sense is [zai4])	z	ai3	𢦏车
𢦏					十戈
車	che1	surname Che	ch	e1	
车	che1	surname Che	ch	e1	七十
車	che1	car / vehicle / CL:輛|辆[liang4] / machine / to shape with a lathe	ch	e1	
车	che1	car / vehicle / CL:輛|辆[liang4] / machine / to shape with a lathe	ch	e1	七十
車	ju1	war chariot (archaic) / rook (in Chinese chess) / rook (in chess)	ju	Ø1	
车	ju1	war chariot (archaic) / rook (in Chinese chess) / rook (in chess)	ju	Ø1	七十
載	zai4	to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously	z	ai4	𢦏車
载	zai4	to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously	z	ai4	𢦏车
儻	tang3	if / unexpectedly	t	ang3	亻黨
傥	tang3	if / unexpectedly	t	ang3	亻党
黨	dang3	surname Dang	d	ang3	尚黑
党	dang3	surname Dang	d	ang3	兄小
兄	xiong1	elder brother	xu	(e)ng1	儿口
黨	dang3	party / association / club / society / CL:個|个[ge4]	d	ang3	尚黑
党	dang3	party / association / club / society / CL:個|个[ge4]	d	ang3	兄小
儐	bin1	best man / to entertain	bi	(e)n1	亻賓
傧	bin1	best man / to entertain	bi	(e)n1	亻宾
賓	bin1	visitor / guest / object (in grammar)	bi	(e)n1	宀少貝
宾	bin1	visitor / guest / object (in grammar)	bi	(e)n1	兵宀
兵	bing1	soldiers / a force / an army / weapons / arms / military / warlike / CL:個|个[ge4]	bi	(e)ng1	丘八
儲	chu3	surname Chu / Taiwan pr. [Chu2]	chu	Ø3	亻諸
储	chu3	surname Chu / Taiwan pr. [Chu2]	chu	Ø3	亻诸
諸	zhu1	surname Zhu	zhu	Ø1	者言
诸	zhu1	surname Zhu	zhu	Ø1	者讠
者	zhe3	(after a verb or adjective) one who (is) ... / (after a noun) person involved in ... / -er / -ist / (used after a number or 後|后[hou4] or 前[qian2] to refer to sth mentioned previously) / (used after a term, to mark a pause before defining the term) / (old) (used at the end of a command) / (old) this	zh	e3	⺹日
訁	yan2	"speech" or "words" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]	y	an2	
讠	yan2	"speech" or "words" radical in Chinese characters (Kangxi radical 149) / see also 言字旁[yan2 zi4 pang2]	y	an2	
諸	zhu1	all / various	zhu	Ø1	者言
诸	zhu1	all / various	zhu	Ø1	者讠
儲	chu3	to store / to save / to have in reserve / heir / Taiwan pr. [chu2]	chu	Ø3	亻諸
储	chu3	to store / to save / to have in reserve / heir / Taiwan pr. [chu2]	chu	Ø3	亻诸
儺	nuo2	to exorcise demons	nu	o2	亻難
傩	nuo2	to exorcise demons	nu	o2	亻难
難	nan2	difficult (to...) / problem / difficulty / difficult / not good	n	an2	隹
难	nan2	difficult (to...) / problem / difficulty / difficult / not good	n	an2	又隹
隹	zhui1	short-tailed bird	zhu	ei1	
難	nan4	disaster / distress / to scold	n	an4	隹
难	nan4	disaster / distress / to scold	n	an4	又隹
催	cui1	to urge / to press / to prompt / to rush sb / to hasten sth / to expedite	cu	ei1	亻崔
崔	cui1	surname Cui	cu	ei1	山隹
崔	cui1	high mountain / precipitous	cu	ei1	山隹
傮	zao1	finish, to go around	z	ao1	亻曹
曹	cao2	surname Cao / Zhou Dynasty vassal state	c	ao2	一曰曲
曹	cao2	class or grade / generation / plaintiff and defendant (old) / government department (old)	c	ao2	一曰曲
傲	ao4	proud / arrogant / to despise / unyielding / to defy	Ø	ao4	亻敖
敖	ao2	surname Ao	Ø	ao2	土攵方
敖	ao2	to ramble / to rove / old variant of 熬[ao2]	Ø	ao2	土攵方
傺	chi4	to detain / to hinder	ch	Ø4	亻祭
祭	zhai4	surname Zhai	zh	ai4	又月示
祭	ji4	to offer sacrifice / festive occasion	ji	Ø4	又月示
傻	sha3	foolish	sh	a3	<亻夓
<					
夓	xia4	old variant of 夏[xia4]	xi	a4	夂
傿	yan1	name of an immortal / ancient place name / surname Yan	y	an1	亻焉
焉	yan1	where / how	y	an1	丂正灬
傿	yan4	fraudulent price	y	an4	亻焉
僃	bei4	old variant of 備|备[bei4]	b	ei4	亻勹用艹
艹	cao3	grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5]	c	ao3	
僄	piao4	light / airy	pi	ao4	亻票
票	piao4	ticket / ballot / bank note / CL:張|张[zhang1] / person held for ransom / amateur performance of Chinese opera / classifier for shipments and business transactions (dialect)	pi	ao4	示覀
僇	lu4	to despise / to insult	lu	Ø4	亻翏
翏	liu4	the sound of the wind / to soar	li	ou4	㐱羽
㐱					
働	dong4	labor / work (Japanese kokuji)	du	(e)ng4	亻動
動					力重
僎	zhuan4	collect	zhu	an4	亻巽
巽	xun4	to obey / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing wood and wind / ☴	xu	(e)n4	共己
己	ji3	self / oneself / sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / sixth in order / letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc / hexa	ji	Ø3	
